index,zone_i,zone_j,ntc
0,CZ,east,3396.205223481056
1,DK,north_west,4548.503984740478
2,NL,north_west,3396.205223481056
3,east,PL,3396.205223481056
4,east,north_east,13584.82089392422
5,east,west,3396.205223481056
6,north_east,PL,3396.205223481056
7,north_east,north_west,3396.205223481056
8,north_east,west,3396.205223481056
9,south,AT,12646.3957663834
10,south,CH,20377.23134088633
11,south,CZ,3396.205223481056
12,south,FR,9473.625097078731
13,south,LU,4424.004172692426
14,south,east,6792.410446962111
15,south,west,15282.923505664749
16,west,NL,6792.410446962111
17,west,north_west,12869.830320559788
18,east,CZ,3396.205223481056
19,north_west,DK,4548.503984740478
20,north_west,NL,3396.205223481056
21,PL,east,3396.205223481056
22,north_east,east,13584.82089392422
23,west,east,3396.205223481056
24,PL,north_east,3396.205223481056
25,north_west,north_east,3396.205223481056
26,west,north_east,3396.205223481056
27,AT,south,12646.3957663834
28,CH,south,20377.23134088633
29,CZ,south,3396.205223481056
30,FR,south,9473.625097078731
31,LU,south,4424.004172692426
32,east,south,6792.410446962111
33,west,south,15282.923505664749
34,NL,west,6792.410446962111
35,north_west,west,12869.830320559788
